Название,Жанр,Продюссер,Страна,Год
Судная ночь 3,ужасы триллер   боевик,Джеймс Демонако,США  Франция,2016
Смерть в Сараево,драматический фильм,Данис Танович,Босния и Герцеговина  Франция,15 февраля   2016  и  27 октября   2016
Смерть от смерти,комедийная драма  и  комедийный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Ксавье Серон",Бельгия  Франция,2016  и  14 декабря   2017
Сырое,драма ужасов история взросления,Жюлия Дюкурно,Франция  Бельгия,2016
Стефан Цвейг (фильм),биографический фильм  и  драматический фильм,Мария Шрадер,Германия  Австрия  Франция,"2016 ,  2 июня   2016    ,  10 августа   2016  ,  9 августа   2016   и  17 ноября   2016"
Слепой Христос,драматический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Кристофер Мюррей",Чили  Франция,2 сентября   2016
Кладбище великолепия,драма,Апичатпонг Вирасетакул,Таиланд  Великобритания  Франция  Малайзия  Республика Корея  Мексика  США  Норвегия,2015
Клятвенная девственница (фильм),"драматический фильм   ,  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм   и  экранизация литературного произведения",Лаура Биспури,Швейцария     Италия     Германия     Албания     Косово,"2015 ,  23 июня   2016   и  28 января   2016"
Зимняя песня,"драма ,  притча ,  трагикомедия",Отар Иоселиани,Франция    Грузия,2015
Смерть Людовика XIV,драма,Альберт Серра,Франция  Португалия  Испания,2016
История сумасшедшего,"драма ,  исторический фильм",Робер Гедигян,Франция,2015
Едва я открою глаза,драматический фильм  и  художественный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Лейла Бузид",Франция    Бельгия    Тунис,5 сентября   2015  и  6 октября   2016
Добро пожаловать в Гармонию,триллер фильм ужасов драма,Мигель Анхель Вивас,США  Испания  Венгрия  Франция,2015
Заложница 3,боевик триллер криминал,Оливье Мегатон,Франция      США,2014
"Заброшенный (фильм, 2015)","драма ,  вестерн",Джон Кассар,"США ,   Франция ,   Канада",2015
Дипан (фильм),драма,Жак Одиар,Франция,2015
"Дневник горничной (фильм, 2015)",драма,Бенуа Жако,Франция  Бельгия,2015
"Громче, чем бомбы",драма,Йоаким Триер,Норвегия  Франция  Дания,2015
"Ганмен (фильм, 2015)",боевик триллер,Пьер Морель,Великобритания  Франция  Испания,2015
